#section	characterInfo									
//ResourceFileID (info)	ResourceTypeName	Size	Ride Type	ride	Die Bsr	Die Effect	DamageBone	DamagePos	BloodType	Dead Effect
//기획쪽에서 만든 캐릭터 ID	핸들문서(사운드)에 있는 캐릭터 ID			탈것에 대한 설정	죽을때 바뀔 BSR	죽을때 나올 효과	데미지가 나올 위치(본)	본으로부터의 포지션(위치)	피 타입	죽을 때 효과

//Character_China										
CHAR_EU_WOMAN_ORACLE	PCF_ORACLE	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_CRUSADER	PCF_CRUSADER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_AMAZONESS	PCF_AMAZONESS	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_KNIGHT	PCF_KNIGHT	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_ADVENTURER	PCF_ADVENTURER	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_GLADIATOR	PCF_GLADIATOR	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_ANGEL	PCF_ANGEL	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_DEVIL	PCF_DEVIL	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
CHAR_EU_WOMAN_SUCCUBUS	PCF_SUCCUBUS	2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
										
//NPC_China										
NPC_CH_SMITH	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_ARMOR	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_POTION	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_ACCESSORY	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_HORSE	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SPECIAL	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_FERRY	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_BOATMAN	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_WAREHOUSE_M	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_WAREHOUSE_W	PLAYER	2.8	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_TICKET	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_LOTTERY	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SHAMAN	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_CHEF	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_GENARAL	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_GENARAL_SW	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_GENARAL_SP	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_GENARAL_BO	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_PRIEST	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
//NPC_CH_MINISTER	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
//NPC_CH_VILLAINOUS	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
//NPC_CH_MOTHER	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_DOCTOR	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_ISLAM	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_EUROPE	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_INDIA	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SOLDIER_EM1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SOLDIER_EM2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SOLDIER_EA1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SOLDIER_EA2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SOLDIER_WE1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SOLDIER_WE2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SOLDIER_SO1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_SOLDIER_SO2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_BEGGARBOY	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_BIGMAN	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_KISAENG1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_KISAENG2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_KISAENG3	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_KISAENG4	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_KISAENG5	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_KISAENG6	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_HORSE1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_HORSE2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_HORSE3	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_HORSE4	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_POTION2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_CH_POTION3	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
//NPC_WestChina										
NPC_WC_SMITH	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_ARMOR	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_POTION	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_ACCESSORY	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_HORSE	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_FERRY	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_WAREHOUSE_M	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_WAREHOUSE_W	PLAYER	2.8	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_SPECIAL	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_PRIEST1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_PRIEST2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_GENARAL_SW	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_GENARAL_SP	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_GENARAL_BO	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_DOCTOR	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_SOLDIER_EA1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_SOLDIER_EA2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_SOLDIER_WE1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_SOLDIER_WE2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_SOLDIER_SO	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_WC_PRIEST3	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
//NPC_Hotan										
NPC_HT_SMITH	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_ARMOR	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_POTION	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_ACCESSORY	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_HORSE	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_SPECIAL	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_DESIGNER	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_FERRY	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_BOATMAN1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_BINIKI1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_BINIKI2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_WAREHOUSE	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_MANAGER	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_MINISTER	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_SOLDIER_EM	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_SOLDIER_EA	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_SOLDIER_SO	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_HT_SOLDIER_WE	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_KT_FLYSHIP1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_KT_FLYSHIP2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
//NPC_ROC	호탄 NPC									
NPC_RM_VILLAGECHIEF	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_RM_SLAVE1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_RM_SLAVE2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_RM_SLAVE3	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_RM_YOUNGWOMAN1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_RM_YOUNGWOMAN2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_RM_OLDWOMAN	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_RM_FLYSHIP1	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none
NPC_RM_FLYSHIP2	PLAYER	2	none	none	none	none	none	0,14,-3.6	none	none

//Monster_China										
MOB_CH_MANGNYANG	MOB_MANGNYANG	1.5	none	none	res\mob\common\mangnyang_die.bsr	none	none	0,9.1,-6	hit_2_redblood	none
MOB_CH_BIGEYEGHOST	MOB_BIGEYEGHOST	1.6	none	none	none	none	none	0,9.1,-5	hit_2_greenblood	none
MOB_CH_BIGEYEGHOST_CLON	MOB_BIGEYEGHOST	1.6	none	none	none	none	none	0,9.1,-5	hit_2_greenblood	none
MOB_CH_GYO	MOB_GYO	1.2	none	none	none	none	none	0,9.1,-6.8	hit_2_redblood	none
MOB_CH_GYO_CLON	MOB_GYO	1.2	none	none	none	none	none	0,9.1,-6.8	hit_2_redblood	none
MOB_CH_WATERGHOST	MOB_WATERGHOST	1.3	none	none	none	none	none	0,10,-7	hit_2_greenblood	none
MOB_CH_WATERGHOST_CLON	MOB_WATERGHOST	1.3	none	none	none	none	none	0,10,-7	hit_2_greenblood	none
MOB_CH_STONEGHOST	MOB_STONEGHOST	1.7	none	none	none	none	none	0,11,-7	hit_2_stone	none
MOB_CH_STONEGHOST_CLON	MOB_STONEGHOST	1.7	none	none	none	none	none	0,11,-7	hit_2_stone	none
MOB_CH_TOMBSTONE	MOB_TOMBSTONE	3	none	none	res\mob\common\tombstone_die.bsr	none	none	0,14,-5	hit_2_stone	none
MOB_CH_TOMBSTONE_CLON	MOB_TOMBSTONE	3	none	none	res\mob\common\tombstone_die.bsr	none	none	0,14,-5	hit_2_stone	none
MOB_CH_YEOHA	MOB_YEOHA	1.9	none	none	none	none	none	0,10,-6	hit_2_redblood	none
MOB_CH_YEOHA_CLON	MOB_YEOHA	1.9	none	none	none	none	none	0,10,-6	hit_2_redblood	none
MOB_CH_BANDITARCHER	MOB_BANDITARCHER	1.7	none	none	none	none	none	0,10,-4	hit_2_redblood	none
MOB_CH_BANDITARCHER_CLON	MOB_BANDITARCHER	1.7	none	none	none	none	none	0,10,-4	hit_2_redblood	none
MOB_CH_TIGER	MOB_TIGER	1.3	none	none	none	none	none	0,11,-13	hit_2_redblood	none
MOB_CH_TIGER_CLON	MOB_TIGER	1.3	none	none	none	none	none	0,11,-13	hit_2_redblood	none
MOB_CH_BANDIT	MOB_BANDIT	1.7	none	none	none	none	none	0,10,-4	hit_2_redblood	none
MOB_CH_BANDIT_CLON	MOB_BANDIT	1.7	none	none	none	none	none	0,10,-4	hit_2_redblood	none
MOB_CH_WHITETIGER	MOB_WHITETIGER	1.3	none	none	none	none	none	0,11,-13	hit_2_redblood	none
MOB_CH_WHITETIGER_CLON	MOB_WHITETIGER	1.3	none	none	none	none	none	0,11,-13	hit_2_redblood	none
MOB_CH_TIGERWOMAN	MOB_TIGERWOMAN	2.8	none	res\mob\china\bluetiger.bsr	none	none	none	0,15,-30	hit_2_redblood	none
MOB_CH_CHAKJI	MOB_CHAKJI	1.8	none	none	none	none	none	0,13,-5.5	hit_2_greenblood	none
MOB_CH_CHAKJI_CLON	MOB_CHAKJI	1.8	none	none	none	none	none	0,13,-5.5	hit_2_greenblood	none
//Monster_WestChina										
MOB_WC_GHOSTBUG	MOB_GHOSTBUG	1.7	none	none	none	none	none	0,14,-5	hit_2_greenblood	none
MOB_WC_DEVILBUG	MOB_DEVILBUG	1.7	none	none	none	none	none	0,14,-5	hit_2_greenblood	none
MOB_WC_HYUNGNO	MOB_HYUNGNO	2	none	none	res\mob\common\hyungno_die.bsr	none	none	0,16,-5	hit_2_redblood	none
MOB_WC_HYUNGNO_CLON	MOB_HYUNGNO	2	none	none	res\mob\common\hyungno_die.bsr	none	none	0,16,-5	hit_2_redblood	none
MOB_WC_DEMONHORSE	MOB_DEMONHORSE	2	none	none	none	none	none	0,12,-10	hit_2_redblood	none
MOB_WC_DEMONHORSE_CLON	MOB_DEMONHORSE	2	none	none	none	none	none	0,12,-10	hit_2_redblood	none
MOB_WC_EARTHGHOST	MOB_EARTHGHOST	1.1	none	none	none	none	none	0,7,-4	hit_2_redblood	none
MOB_WC_EARTHGHOST_CLON	MOB_EARTHGHOST	1.1	none	none	none	none	none	0,7,-4	hit_2_redblood	none
MOB_WC_GUNPOWDERGHOST	MOB_GUNPOWDERGHOST	1.1	none	none	none	none	none	0,7,-4	hit_2_redblood	none
MOB_WC_GUNPOWDERGHOST_CLON	MOB_GUNPOWDERGHOST	1.1	none	none	none	none	none	0,7,-4	hit_2_redblood	none
MOB_WC_EARTHKING	MOB_EARTHKING	2	none	none	none	none	none	0,13,-6	hit_2_redblood	none
MOB_WC_EARTHKING_CLON	MOB_EARTHKING	2	none	none	none	none	none	0,13,-6	hit_2_redblood	none
MOB_WC_HYEONGCHEON	MOB_HYEONGCHEON	2.8	none	none	none	none	none	0,17,-9	hit_2_stone	none
MOB_WC_HYEONGCHEON_CLON	MOB_HYEONGCHEON	2.8	none	none	none	none	none	0,17,-9	hit_2_stone	none
//Monster_Oasis										
MOB_OA_SCORPION	MOB_SCORPION	1.5	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_SCORPION_CLON	MOB_SCORPION	1.5	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_ONG	MOB_ONG	2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_OA_ONG_CLON	MOB_ONG	2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_KT_ONG_CLON2	MOB_ONG	2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_OA_YEOWA	MOB_YEOWA	2.2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_OA_YEOWA_CLON	MOB_YEOWA	2.2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_OA_DESERTTRUNKZ	MOB_BLOODFLOWER	2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_KT_DESERTTRUNKZ_CLON	MOB_BLOODFLOWER	2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_OA_DESERTTRUNKZ_CLON2	MOB_BLOODFLOWER	2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_OA_BLACKROBBER	MOB_BLACKROBBER	2.2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_BLACKROBBER_CLON	MOB_BLACKROBBER	2.2	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_BLACKROBBERARCHER	MOB_BLACKROBBERARCHER	1.8	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_BLACKROBBERARCHER_CLON	MOB_BLACKROBBERARCHER	1.8	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_URUCHI	MOB_URUCHI	7	none	res\mob\oasis\uruchidragon.bsr	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_REDEYEGHOST	MOB_REDEYEGHOST	1	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_REDEYEGHOST_CLON	MOB_REDEYEGHOST	1	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_REDSCORPION	MOB_REDSCORPION	2.1	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_OA_REDSCORPION_CLON	MOB_REDSCORPION	2.1	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
//Monster_Khotan										
MOB_KT_WHITESPIDER	MOB_SPIDER	1.3	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_KT_WHITESPIDER_CLON	MOB_SPIDER	1.3	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_KT_BUNWANG	MOB_BUNWANG	1	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_KT_BUNWANG_CLON	MOB_BUNWANG	1	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_KT_MUJIGI	MOB_MUJIGI	3.8	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_KT_MUJIGI_CLON	MOB_MUJIGI	3.8	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_KT_BIGSPIDER	MOB_BIGSPIDER	10	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
//Monster_Karakoram										
MOB_KK_ISHADE	MOB_ISHADE	3	RT_FIXED	res\mob\karakoram\ishade_ice.bsr	none	none	none	0,14,-3.6	hit_2_ice	none
MOB_KK_ISHADE_CLON	MOB_ISHADE	3	RT_FIXED	res\mob\karakoram\ishade_ice.bsr	none	none	none	0,14,-3.6	hit_2_ice	none
MOB_KK_SPIDER	MOB_SPIDER	1.3	none	none	none	none	none	0,14,-3.6	hit_2_ice	none
MOB_KK_SPIDER_CLON	MOB_SPIDER	1.3	none	none	none	none	none	0,14,-3.6	hit_2_ice	none
MOB_KK_PENON_F	MOB_PENON	2.3	none	none	res\mob\common\penon_f_die.bsr	none	none	0,14,-3.6	hit_2_ice	none
MOB_KK_PENON_W	MOB_PENON	2.3	none	none	res\mob\common\penon_w_die.bsr	none	none	0,14,-3.6	hit_2_ice	none
MOB_KK_PLANAR	MOB_PLANAR	2.2	none	none	res\mob\common\planar_die.bsr	none	none	0,14,-3.6	hit_2_ice	none
MOB_KK_PLANAR_CLON	MOB_PLANAR	2.2	none	none	res\mob\common\planar_die.bsr	none	none	0,14,-3.6	hit_2_ice	none
MOB_KK_GWHITESPIDER	MOB_SWHITESPIDER	2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_KK_GWHITESPIDER_CLON	MOB_SWHITESPIDER	2	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_KK_YETI	MOB_YETI	4.3	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_KK_YETI_CLON	MOB_YETI	4.3	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_KK_ISYUTARU	MOB_ISYUTARU	5.5	none	none	none	none	none	0,14,-3.6	hit_2_ice	none
//Monster_Common										
MOB_AUTOMOB	MOB_AUTOMOB	1.5	none	none	none	none	none	0,14,-3.6	hit_2_stone	none
//Monster_Dounhwang										
MOB_DH_BUGGHOST_CLON	MOB_DH_BUGGHOST	1	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_DH_BUGGHOST	MOB_DH_BUGGHOST	1	none	none	none	none	none	0,14,-3.6	hit_2_greenblood	none
MOB_DH_WORKEARTHGHOST_CLON	MOB_DH_WORKEARTHGHOST	2.3	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_DH_WORKEARTHGHOST	MOB_DH_WORKEARTHGHOST	2.3	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_DH_SOLDIEREARTHGHOST_CLON	MOB_DH_SOLDIEREARTHGHOST	2.5	none	none	res\mob\common\soldierearthghost_die.bsr	none	none	0,14,-3.6	hit_2_redblood	none
MOB_DH_SOLDIEREARTHGHOST	MOB_DH_SOLDIEREARTHGHOST	2.5	none	none	res\mob\common\soldierearthghost_die.bsr	none	none	0,14,-3.6	hit_2_redblood	none
MOB_DH_BLINDMON_CLON	MOB_DH_BLINDMON	3.8	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_DH_BLINDMON	MOB_DH_BLINDMON	3.8	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
MOB_DH_YACHA_CLON	MOB_DH_YACHA	3.1	none	none	none	none	none	0,14,-3.6	hit_2_redblood	none
